Cell_type,sample,group,result
HFF,PDL24,Control,0.993375993
HFF,PDL36,Control,1.231840233
HFF,PDL47,Control,1.361008363
HFF,PDL53,Control,1.579600584
HFF,PDL24,Control,1.033120033
HFF,PDL36,Control,1.251712253
HFF,PDL47,Control,1.361008363
HFF,PDL53,Control,1.430560433
HFF,PDL24,Control,0.973503973
HFF,PDL36,Control,1.301392303
HFF,PDL47,Control,1.380880383
HFF,PDL53,Control,1.460368463
