#p q x1 x2 x3 df/dx3
10.190000 1.000000 0.248328 0.201767 0.019796 0.508491
10.190000 1.000000 1.737097 0.017037 0.143203 -0.612191
10.200000 1.000000 0.248999 0.201516 0.019833 0.508093
10.200000 1.000000 1.736092 0.017075 0.143007 -0.611471
10.210000 1.000000 0.249671 0.201265 0.019871 0.507692
10.210000 1.000000 1.735085 0.017113 0.142811 -0.610750
10.220000 1.000000 0.250344 0.201013 0.019908 0.507291
10.220000 1.000000 0.250344 0.201014 0.019908 0.507291
10.220000 1.000000 1.734077 0.017151 0.142616 -0.610028
10.230000 1.000000 0.251019 0.200762 0.019946 0.506888
10.230000 1.000000 1.733067 0.017189 0.142420 -0.609305
10.240000 1.000000 0.251695 0.200510 0.019983 0.506483
10.240000 1.000000 1.732056 0.017227 0.142225 -0.608580
10.250000 1.000000 0.252373 0.200259 0.020021 0.506077
10.250000 1.000000 1.731043 0.017265 0.142030 -0.607854
10.260000 1.000000 0.253052 0.200007 0.020058 0.505670
10.260000 1.000000 1.730028 0.017303 0.141835 -0.607128
10.270000 1.000000 0.253733 0.199755 0.020096 0.505261
10.270000 1.000000 1.729013 0.017341 0.141640 -0.606400
10.280000 1.000000 0.254415 0.199503 0.020134 0.504850
10.280000 1.000000 1.727995 0.017380 0.141445 -0.605670
10.290000 1.000000 0.255099 0.199250 0.020172 0.504438
10.290000 1.000000 0.255099 0.199250 0.020172 0.504439
10.290000 1.000000 1.726977 0.017418 0.141251 -0.604940
10.300000 1.000000 0.255784 0.198998 0.020210 0.504025
10.300000 1.000000 1.725956 0.017457 0.141057 -0.604208
10.310000 1.000000 0.256471 0.198745 0.020248 0.503610
10.310000 1.000000 1.724934 0.017496 0.140863 -0.603476
10.310000 1.000000 1.724935 0.017496 0.140863 -0.603476
10.320000 1.000000 0.257159 0.198493 0.020286 0.503194
10.320000 1.000000 1.723911 0.017535 0.140669 -0.602742
10.330000 1.000000 0.257848 0.198240 0.020324 0.502776
10.330000 1.000000 1.722886 0.017573 0.140475 -0.602006
10.330000 1.000000 1.722886 0.017574 0.140475 -0.602006
10.340000 1.000000 0.258539 0.197987 0.020362 0.502357
10.340000 1.000000 1.721860 0.017613 0.140282 -0.601270
10.350000 1.000000 0.259232 0.197734 0.020401 0.501936
10.350000 1.000000 1.720832 0.017652 0.140088 -0.600532
10.360000 1.000000 0.259926 0.197481 0.020439 0.501514
10.360000 1.000000 1.719802 0.017691 0.139895 -0.599793
10.360000 1.000000 1.719802 0.017691 0.139895 -0.599794
10.360000 1.000000 1.719803 0.017691 0.139895 -0.599794
10.370000 1.000000 0.260622 0.197228 0.020477 0.501090
10.370000 1.000000 1.718771 0.017730 0.139702 -0.599053
10.370000 1.000000 1.718772 0.017730 0.139702 -0.599053
10.380000 1.000000 0.261319 0.196975 0.020516 0.500665
10.380000 1.000000 1.717739 0.017770 0.139509 -0.598312
10.390000 1.000000 0.262017 0.196721 0.020554 0.500238
10.390000 1.000000 1.716705 0.017809 0.139317 -0.597570
10.400000 1.000000 0.262718 0.196468 0.020593 0.499809
10.400000 1.000000 1.715669 0.017849 0.139124 -0.596826
10.410000 1.000000 0.263419 0.196214 0.020632 0.499379
10.410000 1.000000 1.714632 0.017889 0.138932 -0.596081
10.420000 1.000000 0.264122 0.195960 0.020670 0.498948
10.420000 1.000000 0.264123 0.195960 0.020670 0.498948
10.420000 1.000000 1.713593 0.017928 0.138740 -0.595335
10.430000 1.000000 0.264827 0.195707 0.020709 0.498515
10.430000 1.000000 1.712553 0.017968 0.138548 -0.594587
10.440000 1.000000 0.265534 0.195453 0.020748 0.498080
10.440000 1.000000 0.265534 0.195453 0.020748 0.498081
10.440000 1.000000 1.711511 0.018008 0.138356 -0.593839
10.450000 1.000000 0.266241 0.195198 0.020787 0.497644
10.450000 1.000000 0.266242 0.195198 0.020787 0.497644
10.450000 1.000000 1.710467 0.018049 0.138164 -0.593089
10.460000 1.000000 0.266951 0.194944 0.020826 0.497207
10.460000 1.000000 1.709422 0.018089 0.137973 -0.592338
10.470000 1.000000 0.267662 0.194690 0.020865 0.496767
10.470000 1.000000 0.267662 0.194690 0.020865 0.496768
10.470000 1.000000 1.708375 0.018129 0.137782 -0.591585
10.480000 1.000000 0.268375 0.194435 0.020904 0.496327
10.480000 1.000000 1.707327 0.018170 0.137590 -0.590831
10.490000 1.000000 0.269089 0.194181 0.020944 0.495884
10.490000 1.000000 1.706277 0.018210 0.137399 -0.590076
10.500000 1.000000 0.269804 0.193926 0.020983 0.495440
10.500000 1.000000 0.269805 0.193926 0.020983 0.495441
10.500000 1.000000 1.705225 0.018251 0.137209 -0.589320
10.510000 1.000000 0.270522 0.193671 0.021022 0.494995
10.510000 1.000000 1.704172 0.018292 0.137018 -0.588562
10.510000 1.000000 1.704172 0.018292 0.137018 -0.588563
10.520000 1.000000 0.271241 0.193416 0.021062 0.494548
10.520000 1.000000 1.703117 0.018333 0.136827 -0.587804
10.530000 1.000000 0.271961 0.193161 0.021101 0.494099
10.530000 1.000000 1.702061 0.018374 0.136637 -0.587044
10.540000 1.000000 0.272683 0.192906 0.021141 0.493649
10.540000 1.000000 0.272684 0.192906 0.021141 0.493649
10.540000 1.000000 1.701002 0.018415 0.136447 -0.586282
10.540000 1.000000 1.701003 0.018415 0.136447 -0.586282
10.550000 1.000000 0.273407 0.192651 0.021180 0.493197
10.550000 1.000000 1.699943 0.018456 0.136257 -0.585519
10.560000 1.000000 0.274133 0.192395 0.021220 0.492744
10.560000 1.000000 1.698881 0.018497 0.136067 -0.584755
10.570000 1.000000 0.274860 0.192140 0.021260 0.492289
10.570000 1.000000 1.697818 0.018539 0.135877 -0.583990
10.580000 1.000000 0.275588 0.191884 0.021300 0.491832
10.580000 1.000000 1.696753 0.018581 0.135688 -0.583223
10.580000 1.000000 1.696754 0.018581 0.135688 -0.583223
10.590000 1.000000 0.276318 0.191628 0.021340 0.491374
10.590000 1.000000 0.276319 0.191628 0.021340 0.491374
10.590000 1.000000 1.695687 0.018622 0.135498 -0.582455
10.590000 1.000000 1.695687 0.018622 0.135498 -0.582456
10.600000 1.000000 0.277050 0.191372 0.021380 0.490914
10.600000 1.000000 0.277050 0.191373 0.021380 0.490914
