"","x"
"1","ENSG00000069122"
"2","ENSG00000145681"
"3","ENSG00000165092"
"4","ENSG00000060718"
"5","ENSG00000143355"
"6","ENSG00000170893"
"7","ENSG00000164220"
"8","ENSG00000142910"
"9","ENSG00000167641"
"10","ENSG00000164530"
"11","ENSG00000186847"
"12","ENSG00000157766"
"13","ENSG00000122862"
"14","ENSG00000074527"
"15","ENSG00000261573"
"16","ENSG00000111057"
"17","ENSG00000104332"
"18","ENSG00000121039"
"19","ENSG00000150556"
"20","ENSG00000175899"
"21","ENSG00000073756"
"22","ENSG00000164176"
"23","ENSG00000211448"
"24","ENSG00000127951"
"25","ENSG00000091490"
"26","ENSG00000138347"
"27","ENSG00000138135"
"28","ENSG00000176692"
"29","ENSG00000101282"
"30","ENSG00000061337"
"31","ENSG00000133169"
"32","ENSG00000188581"
"33","ENSG00000180914"
"34","ENSG00000055813"
"35","ENSG00000163453"
"36","ENSG00000058085"
"37","ENSG00000115468"
"38","ENSG00000106819"
"39","ENSG00000127329"
"40","ENSG00000159251"
"41","ENSG00000171345"
"42","ENSG00000139211"
"43","ENSG00000090530"
"44","ENSG00000159217"
"45","ENSG00000080823"
"46","ENSG00000013588"
"47","ENSG00000122641"
"48","ENSG00000182351"
"49","ENSG00000137033"
"50","ENSG00000101384"
"51","ENSG00000099337"
"52","ENSG00000070404"
"53","ENSG00000153162"
"54","ENSG00000111859"
"55","ENSG00000140545"
"56","ENSG00000140511"
"57","ENSG00000049323"
"58","ENSG00000236876"
"59","ENSG00000233929"
"60","ENSG00000181104"
"61","ENSG00000187800"
"62","ENSG00000138678"
"63","ENSG00000155324"
"64","ENSG00000143367"
"65","ENSG00000006606"
"66","ENSG00000207864"
"67","ENSG00000175084"
"68","ENSG00000205364"
"69","ENSG00000136244"
"70","ENSG00000100302"
"71","ENSG00000130751"
"72","ENSG00000148677"
"73","ENSG00000076706"
"74","ENSG00000125657"
"75","ENSG00000123358"
"76","ENSG00000132329"
"77","ENSG00000108639"
