"","x"
"1","ENSG00000259250"
"2","ENSG00000144749"
"3","ENSG00000196878"
"4","ENSG00000116574"
"5","ENSG00000180573"
"6","ENSG00000147872"
"7","ENSG00000156011"
"8","ENSG00000181690"
"9","ENSG00000163947"
"10","ENSG00000111885"
"11","ENSG00000171992"
"12","ENSG00000138316"
"13","ENSG00000177707"
"14","ENSG00000259216"
"15","ENSG00000109686"
"16","ENSG00000108960"
"17","ENSG00000234883"
"18","ENSG00000132967"
"19","ENSG00000184500"
"20","ENSG00000186918"
"21","ENSG00000069702"
"22","ENSG00000251235"
"23","ENSG00000106034"
"24","ENSG00000229939"
"25","ENSG00000171444"
"26","ENSG00000143344"
"27","ENSG00000184898"
"28","ENSG00000166033"
"29","ENSG00000170561"
"30","ENSG00000144152"
"31","ENSG00000188921"
"32","ENSG00000164938"
"33","ENSG00000260077"
"34","ENSG00000138356"
"35","ENSG00000007944"
"36","ENSG00000153714"
"37","ENSG00000106546"
"38","ENSG00000120833"
"39","ENSG00000145675"
"40","ENSG00000230629"
"41","ENSG00000182796"
"42","ENSG00000204103"
"43","ENSG00000212232"
"44","ENSG00000225573"
"45","ENSG00000170370"
"46","ENSG00000116668"
"47","ENSG00000109472"
"48","ENSG00000101955"
"49","ENSG00000228247"
"50","ENSG00000108846"
"51","ENSG00000006468"
"52","ENSG00000166482"
"53","ENSG00000165124"
"54","ENSG00000232952"
"55","ENSG00000243244"
"56","ENSG00000151151"
"57","ENSG00000139117"
"58","ENSG00000009413"
"59","ENSG00000184100"
"60","ENSG00000158270"
"61","ENSG00000085117"
"62","ENSG00000146278"
"63","ENSG00000168734"
"64","ENSG00000163071"
"65","ENSG00000258608"
"66","ENSG00000231767"
"67","ENSG00000182752"
"68","ENSG00000287104"
"69","ENSG00000246985"
"70","ENSG00000205871"
"71","ENSG00000114796"
"72","ENSG00000198157"
"73","ENSG00000164647"
"74","ENSG00000234782"
"75","ENSG00000103196"
"76","ENSG00000159399"
"77","ENSG00000164463"
"78","ENSG00000137273"
"79","ENSG00000110318"
"80","ENSG00000134247"
"81","ENSG00000236852"
"82","ENSG00000230076"
"83","ENSG00000213315"
"84","ENSG00000171033"
"85","ENSG00000150540"
"86","ENSG00000115109"
"87","ENSG00000158373"
"88","ENSG00000237350"
"89","ENSG00000108947"
"90","ENSG00000119950"
"91","ENSG00000057657"
"92","ENSG00000226608"
"93","ENSG00000164125"
"94","ENSG00000151090"
"95","ENSG00000160712"
"96","ENSG00000225138"
"97","ENSG00000162745"
"98","ENSG00000188015"
"99","ENSG00000110900"
"100","ENSG00000182916"
"101","ENSG00000108001"
"102","ENSG00000122420"
"103","ENSG00000239559"
"104","ENSG00000153291"
"105","ENSG00000175155"
"106","ENSG00000180155"
"107","ENSG00000135111"
"108","ENSG00000198795"
"109","ENSG00000182568"
"110","ENSG00000166046"
"111","ENSG00000168398"
"112","ENSG00000124766"
"113","ENSG00000255399"
"114","ENSG00000153132"
"115","ENSG00000187134"
"116","ENSG00000189001"
"117","ENSG00000283175"
"118","ENSG00000156265"
"119","ENSG00000102760"
"120","ENSG00000185641"
"121","ENSG00000079215"
"122","ENSG00000135678"
"123","ENSG00000236552"
"124","ENSG00000223485"
"125","ENSG00000136859"
"126","ENSG00000124126"
"127","ENSG00000077942"
"128","ENSG00000182326"
"129","ENSG00000106823"
"130","ENSG00000173918"
"131","ENSG00000089225"
"132","ENSG00000064309"
"133","ENSG00000229847"
"134","ENSG00000273179"
"135","ENSG00000164920"
"136","ENSG00000121898"
"137","ENSG00000136235"
"138","ENSG00000106004"
"139","ENSG00000120738"
"140","ENSG00000238041"
"141","ENSG00000107159"
"142","ENSG00000119714"
"143","ENSG00000180660"
"144","ENSG00000170271"
"145","ENSG00000171843"
"146","ENSG00000181804"
"147","ENSG00000267669"
"148","ENSG00000113494"
"149","ENSG00000001561"
"150","ENSG00000127241"
"151","ENSG00000185432"
"152","ENSG00000164659"
"153","ENSG00000278962"
"154","ENSG00000197321"
