"","x"
"1","ENSG00000121410"
"2","ENSG00000156006"
"3","ENSG00000196839"
"4","ENSG00000170558"
"5","ENSG00000117020"
"6","ENSG00000275199"
"7","ENSG00000236362"
"8","ENSG00000274917"
"9","ENSG00000256628"
"10","ENSG00000133997"
"11","ENSG00000278570"
"12","ENSG00000077616"
"13","ENSG00000285516"
"14","ENSG00000282757"
"15","ENSG00000207063"
"16","ENSG00000207001"
"17","ENSG00000207014"
"18","ENSG00000275529"
"19","ENSG00000207191"
"20","ENSG00000207442"
"21","ENSG00000207133"
"22","ENSG00000207093"
"23","ENSG00000206727"
"24","ENSG00000200661"
"25","ENSG00000206609"
"26","ENSG00000207197"
"27","ENSG00000207137"
"28","ENSG00000206621"
"29","ENSG00000207174"
"30","ENSG00000207263"
"31","ENSG00000206656"
"32","ENSG00000206688"
"33","ENSG00000278715"
"34","ENSG00000277785"
"35","ENSG00000275127"
"36","ENSG00000207375"
"37","ENSG00000207279"
"38","ENSG00000252326"
"39","ENSG00000199712"
"40","ENSG00000251815"
"41","ENSG00000251896"
"42","ENSG00000199970"
"43","ENSG00000200680"
"44","ENSG00000200503"
"45","ENSG00000200812"
"46","ENSG00000278089"
"47","ENSG00000200726"
"48","ENSG00000199782"
"49","ENSG00000201943"
"50","ENSG00000200486"
"51","ENSG00000199453"
"52","ENSG00000273835"
"53","ENSG00000199960"
"54","ENSG00000201679"
"55","ENSG00000200757"
"56","ENSG00000201482"
"57","ENSG00000200163"
"58","ENSG00000199968"
"59","ENSG00000201969"
"60","ENSG00000199833"
"61","ENSG00000201326"
"62","ENSG00000201331"
"63","ENSG00000199489"
"64","ENSG00000275524"
"65","ENSG00000199704"
"66","ENSG00000200987"
"67","ENSG00000202188"
"68","ENSG00000200949"
"69","ENSG00000200593"
"70","ENSG00000199311"
"71","ENSG00000201992"
"72","ENSG00000202499"
"73","ENSG00000200638"
"74","ENSG00000201907"
"75","ENSG00000200564"
"76","ENSG00000272460"
"77","ENSG00000200478"
"78","ENSG00000201143"
"79","ENSG00000202373"
"80","ENSG00000202261"
"81","ENSG00000284010"
"82","ENSG00000288367"
"83","ENSG00000278123"
"84","ENSG00000207245"
"85","ENSG00000201634"
"86","ENSG00000200398"
"87","ENSG00000201300"
"88","ENSG00000200801"
"89","ENSG00000099974"
"90","ENSG00000275003"
"91","ENSG00000275758"
"92","ENSG00000099977"
"93","ENSG00000236311"
"94","ENSG00000168060"
"95","ENSG00000240498"
"96","ENSG00000254415"
"97","ENSG00000177406"
"98","ENSG00000101473"
"99","ENSG00000136754"
"100","ENSG00000113552"
"101","ENSG00000268654"
"102","ENSG00000175538"
"103","ENSG00000177485"
"104","ENSG00000269893"
"105","ENSG00000233369"
"106","ENSG00000231216"
"107","ENSG00000062038"
"108","ENSG00000136560"
"109","ENSG00000237563"
"110","ENSG00000129816"
"111","ENSG00000185700"
"112","ENSG00000147761"
"113","ENSG00000250204"
"114","ENSG00000268442"
"115","ENSG00000272391"
"116","ENSG00000184616"
"117","ENSG00000186814"
"118","ENSG00000101898"
"119","ENSG00000237636"
"120","ENSG00000213523"
"121","ENSG00000238886"
"122","ENSG00000239127"
"123","ENSG00000238862"
"124","ENSG00000238531"
"125","ENSG00000280213"
"126","ENSG00000239043"
"127","ENSG00000271852"
"128","ENSG00000222365"
"129","ENSG00000203809"
"130","ENSG00000205636"
"131","ENSG00000205269"
"132","ENSG00000248893"
"133","ENSG00000288464"
"134","ENSG00000239183"
"135","ENSG00000207016"
"136","ENSG00000200394"
"137","ENSG00000206937"
"138","ENSG00000207268"
"139","ENSG00000221102"
"140","ENSG00000221459"
"141","ENSG00000221475"
"142","ENSG00000228630"
"143","ENSG00000220201"
"144","ENSG00000171084"
"145","ENSG00000268066"
"146","ENSG00000216031"
"147","ENSG00000215957"
"148","ENSG00000278815"
