"","x"
"1","ENSG00000215790"
"2","ENSG00000178821"
"3","ENSG00000162585"
"4","ENSG00000130762"
"5","ENSG00000162591"
"6","ENSG00000069812"
"7","ENSG00000142583"
"8","ENSG00000171621"
"9","ENSG00000162493"
"10","ENSG00000234593"
"11","ENSG00000189337"
"12","ENSG00000117115"
"13","ENSG00000204362"
"14","ENSG00000276747"
"15","ENSG00000127472"
"16","ENSG00000117298"
"17","ENSG00000142794"
"18","ENSG00000162551"
"19","ENSG00000142798"
"20","ENSG00000169641"
"21","ENSG00000088280"
"22","ENSG00000142661"
"23","ENSG00000158008"
"24","ENSG00000162510"
"25","ENSG00000162512"
"26","ENSG00000220785"
"27","ENSG00000134684"
"28","ENSG00000004455"
"29","ENSG00000116525"
"30","ENSG00000142698"
"31","ENSG00000116954"
"32","ENSG00000127603"
"33","ENSG00000168389"
"34","ENSG00000171793"
"35","ENSG00000171790"
"36","ENSG00000127124"
"37","ENSG00000186973"
"38","ENSG00000178922"
"39","ENSG00000117859"
"40","ENSG00000169213"
"41","ENSG00000162377"
"42","ENSG00000162383"
"43","ENSG00000157184"
"44","ENSG00000174332"
"45","ENSG00000230250"
"46","ENSG00000177606"
"47","ENSG00000132849"
"48","ENSG00000132854"
"49","ENSG00000185483"
"50","ENSG00000223949"
"51","ENSG00000116675"
"52","ENSG00000118473"
"53","ENSG00000172380"
"54","ENSG00000117114"
"55","ENSG00000203943"
"56","ENSG00000266110"
"57","ENSG00000284240"
"58","ENSG00000069702"
"59","ENSG00000198691"
"60","ENSG00000143036"
"61","ENSG00000231987"
"62","ENSG00000117569"
"63","ENSG00000232878"
"64","ENSG00000224613"
"65","ENSG00000230768"
"66","ENSG00000184371"
"67","ENSG00000162775"
"68","ENSG00000064703"
"69","ENSG00000134198"
"70","ENSG00000118729"
"71","ENSG00000134253"
"72","ENSG00000196505"
"73","ENSG00000116874"
"74","ENSG00000275538"
"75","ENSG00000265107"
"76","ENSG00000121634"
"77","ENSG00000237975"
"78","ENSG00000160712"
"79","ENSG00000160789"
"80","ENSG00000196189"
"81","ENSG00000143294"
"82","ENSG00000249730"
"83","ENSG00000132703"
"84","ENSG00000158850"
"85","ENSG00000162745"
"86","ENSG00000185630"
"87","ENSG00000143157"
"88","ENSG00000152382"
"89","ENSG00000143184"
"90","ENSG00000143196"
"91","ENSG00000203740"
"92","ENSG00000094975"
"93","ENSG00000135835"
"94","ENSG00000228309"
"95","ENSG00000116711"
"96","ENSG00000143355"
"97","ENSG00000151414"
"98","ENSG00000081237"
"99","ENSG00000134369"
"100","ENSG00000133067"
"101","ENSG00000188783"
"102","ENSG00000170498"
"103","ENSG00000133069"
"104","ENSG00000226235"
"105","ENSG00000162892"
"106","ENSG00000123843"
"107","ENSG00000196352"
"108","ENSG00000174059"
"109","ENSG00000076356"
"110","ENSG00000143473"
"111","ENSG00000226251"
"112","ENSG00000162771"
"113","ENSG00000136643"
"114","ENSG00000152104"
"115","ENSG00000228208"
"116","ENSG00000143353"
"117","ENSG00000143512"
"118","ENSG00000197520"
"119","ENSG00000143786"
"120","ENSG00000119283"
"121","ENSG00000162946"
"122","ENSG00000227630"
"123","ENSG00000143669"
"124","ENSG00000215808"
"125","ENSG00000117020"
"126","ENSG00000185420"
"127","ENSG00000143653"
"128","ENSG00000151240"
"129","ENSG00000067057"
"130","ENSG00000230573"
"131","ENSG00000231298"
"132","ENSG00000283634"
"133","ENSG00000170525"
"134","ENSG00000134463"
"135","ENSG00000065328"
"136","ENSG00000151474"
"137","ENSG00000266321"
"138","ENSG00000221371"
"139","ENSG00000077943"
"140","ENSG00000151023"
"141","ENSG00000289386"
"142","ENSG00000230720"
"143","ENSG00000099250"
"144","ENSG00000108100"
"145","ENSG00000148513"
"146","ENSG00000226808"
"147","ENSG00000277288"
"148","ENSG00000107562"
"149","ENSG00000264230"
"150","ENSG00000204175"
"151","ENSG00000266524"
"152","ENSG00000265190"
"153","ENSG00000170324"
"154","ENSG00000128815"
"155","ENSG00000234736"
"156","ENSG00000150275"
"157","ENSG00000151151"
"158","ENSG00000122870"
"159","ENSG00000072422"
"160","ENSG00000227244"
"161","ENSG00000138311"
"162","ENSG00000156515"
"163","ENSG00000237512"
"164","ENSG00000148660"
"165","ENSG00000122861"
"166","ENSG00000156650"
"167","ENSG00000188716"
"168","ENSG00000148655"
"169","ENSG00000133678"
"170","ENSG00000189129"
"171","ENSG00000233945"
"172","ENSG00000122376"
"173","ENSG00000171206"
"174","ENSG00000148842"
"175","ENSG00000108018"
"176","ENSG00000108039"
"177","ENSG00000286289"
"178","ENSG00000169129"
"179","ENSG00000151892"
"180","ENSG00000151893"
"181","ENSG00000265719"
"182","ENSG00000203805"
"183","ENSG00000107669"
"184","ENSG00000065154"
"185","ENSG00000175029"
"186","ENSG00000154493"
"187","ENSG00000132334"
"188","ENSG00000170430"
"189","ENSG00000021762"
"190","ENSG00000005801"
"191","ENSG00000180878"
"192","ENSG00000110148"
"193","ENSG00000179532"
"194","ENSG00000183303"
"195","ENSG00000050165"
"196","ENSG00000189431"
"197","ENSG00000254661"
"198","ENSG00000129158"
"199","ENSG00000110756"
"200","ENSG00000166833"
"201","ENSG00000273912"
"202","ENSG00000176148"
"203","ENSG00000205177"
"204","ENSG00000166016"
"205","ENSG00000121691"
"206","ENSG00000135362"
"207","ENSG00000175220"
"208","ENSG00000030066"
"209","ENSG00000149115"
"210","ENSG00000288534"
"211","ENSG00000279051"
"212","ENSG00000197786"
"213","ENSG00000014138"
"214","ENSG00000149798"
"215","ENSG00000283791"
"216","ENSG00000266423"
"217","ENSG00000131626"
