"","x"
"1","ENSG00000000457"
"2","ENSG00000000971"
"3","ENSG00000001461"
"4","ENSG00000004455"
"5","ENSG00000004487"
"6","ENSG00000007341"
"7","ENSG00000007923"
"8","ENSG00000008130"
"9","ENSG00000009307"
"10","ENSG00000009780"
"11","ENSG00000010165"
"12","ENSG00000010803"
"13","ENSG00000011007"
"14","ENSG00000011009"
"15","ENSG00000011021"
"16","ENSG00000014914"
"17","ENSG00000020129"
"18","ENSG00000023572"
"19","ENSG00000023902"
"20","ENSG00000023909"
"21","ENSG00000024526"
"22","ENSG00000025800"
"23","ENSG00000031698"
"24","ENSG00000036549"
"25","ENSG00000037637"
"26","ENSG00000040487"
"27","ENSG00000041988"
"28","ENSG00000043514"
"29","ENSG00000047410"
"30","ENSG00000048707"
"31","ENSG00000049239"
"32","ENSG00000049245"
"33","ENSG00000049246"
"34","ENSG00000052723"
"35","ENSG00000053371"
"36","ENSG00000053372"
"37","ENSG00000054116"
"38","ENSG00000054118"
"39","ENSG00000054392"
"40","ENSG00000280680"
"41","ENSG00000054523"
"42","ENSG00000055070"
"43","ENSG00000057252"
"44","ENSG00000057757"
"45","ENSG00000058453"
"46","ENSG00000058668"
"47","ENSG00000058799"
"48","ENSG00000058804"
"49","ENSG00000060642"
"50","ENSG00000060656"
"51","ENSG00000060688"
"52","ENSG00000060718"
"53","ENSG00000064703"
"54","ENSG00000065135"
"55","ENSG00000065183"
"56","ENSG00000065243"
"57","ENSG00000065526"
"58","ENSG00000065978"
"59","ENSG00000066135"
"60","ENSG00000066136"
"61","ENSG00000066279"
"62","ENSG00000066322"
"63","ENSG00000066557"
"64","ENSG00000067208"
"65","ENSG00000067334"
"66","ENSG00000069275"
"67","ENSG00000069702"
"68","ENSG00000070785"
"69","ENSG00000070831"
"70","ENSG00000073756"
"71","ENSG00000074800"
"72","ENSG00000074964"
"73","ENSG00000075151"
"74","ENSG00000075391"
"75","ENSG00000075945"
"76","ENSG00000076258"
"77","ENSG00000076321"
"78","ENSG00000076356"
"79","ENSG00000077152"
"80","ENSG00000077157"
"81","ENSG00000077254"
"82","ENSG00000077549"
"83","ENSG00000078369"
"84","ENSG00000078618"
"85","ENSG00000078808"
"86","ENSG00000079277"
"87","ENSG00000079739"
"88","ENSG00000081019"
"89","ENSG00000081026"
"90","ENSG00000081721"
"91","ENSG00000081870"
"92","ENSG00000082497"
"93","ENSG00000281230"
"94","ENSG00000082512"
"95","ENSG00000083444"
"96","ENSG00000084070"
"97","ENSG00000084072"
"98","ENSG00000084073"
"99","ENSG00000084623"
"100","ENSG00000084636"
"101","ENSG00000084652"
"102","ENSG00000085433"
"103","ENSG00000085491"
"104","ENSG00000284468"
"105","ENSG00000085832"
"106","ENSG00000085998"
"107","ENSG00000086015"
"108","ENSG00000088035"
"109","ENSG00000088280"
"110","ENSG00000282854"
"111","ENSG00000090020"
"112","ENSG00000090273"
"113","ENSG00000090432"
"114","ENSG00000090621"
"115","ENSG00000090686"
"116","ENSG00000092607"
"117","ENSG00000092621"
"118","ENSG00000092847"
"119","ENSG00000094975"
"120","ENSG00000097021"
"121","ENSG00000097033"
"122","ENSG00000097096"
"123","ENSG00000107404"
"124","ENSG00000116128"
"125","ENSG00000116132"
"126","ENSG00000116133"
"127","ENSG00000116138"
"128","ENSG00000116157"
"129","ENSG00000116161"
"130","ENSG00000116171"
"131","ENSG00000116191"
"132","ENSG00000116198"
"133","ENSG00000116199"
"134","ENSG00000116209"
"135","ENSG00000116212"
"136","ENSG00000116213"
"137","ENSG00000116221"
"138","ENSG00000116237"
"139","ENSG00000116251"
"140","ENSG00000116260"
"141","ENSG00000116266"
"142","ENSG00000116273"
"143","ENSG00000116285"
"144","ENSG00000116288"
"145","ENSG00000116337"
"146","ENSG00000116350"
"147","ENSG00000116353"
"148","ENSG00000116406"
"149","ENSG00000116455"
"150","ENSG00000116459"
"151","ENSG00000116473"
"152","ENSG00000116478"
"153","ENSG00000116489"
"154","ENSG00000116497"
"155","ENSG00000116514"
"156","ENSG00000116521"
"157","ENSG00000263290"
"158","ENSG00000116525"
"159","ENSG00000116539"
"160","ENSG00000116560"
"161","ENSG00000116580"
"162","ENSG00000116584"
"163","ENSG00000116586"
"164","ENSG00000116604"
"165","ENSG00000116641"
"166","ENSG00000116649"
"167","ENSG00000116663"
"168","ENSG00000116667"
"169","ENSG00000116668"
"170","ENSG00000116670"
"171","ENSG00000116675"
"172","ENSG00000116678"
"173","ENSG00000116679"
"174","ENSG00000116685"
"175","ENSG00000116688"
"176","ENSG00000116691"
"177","ENSG00000116698"
"178","ENSG00000116704"
"179","ENSG00000116717"
"180","ENSG00000116729"
"181","ENSG00000116731"
"182","ENSG00000116741"
"183","ENSG00000116747"
"184","ENSG00000116750"
"185","ENSG00000116752"
"186","ENSG00000116754"
"187","ENSG00000116761"
"188","ENSG00000116774"
"189","ENSG00000116786"
"190","ENSG00000116791"
"191","ENSG00000116793"
"192","ENSG00000116809"
"193","ENSG00000116815"
"194","ENSG00000116830"
"195","ENSG00000116857"
"196","ENSG00000116863"
"197","ENSG00000116871"
"198","ENSG00000116874"
"199","ENSG00000116885"
"200","ENSG00000116898"
"201","ENSG00000116922"
"202","ENSG00000116954"
"203","ENSG00000117000"
"204","ENSG00000117036"
"205","ENSG00000117054"
"206","ENSG00000117114"
"207","ENSG00000117118"
"208","ENSG00000117122"
"209","ENSG00000117133"
"210","ENSG00000117139"
"211","ENSG00000117143"
"212","ENSG00000117151"
"213","ENSG00000117152"
"214","ENSG00000117153"
"215","ENSG00000117155"
"216","ENSG00000117174"
"217","ENSG00000117222"
"218","ENSG00000117226"
"219","ENSG00000117228"
"220","ENSG00000117245"
"221","ENSG00000117262"
"222","ENSG00000117280"
"223","ENSG00000117298"
"224","ENSG00000117305"
"225","ENSG00000117308"
"226","ENSG00000117318"
"227","ENSG00000283060"
"228","ENSG00000117335"
"229","ENSG00000117360"
"230","ENSG00000117362"
"231","ENSG00000117385"
"232","ENSG00000117394"
"233","ENSG00000117395"
"234","ENSG00000117399"
"235","ENSG00000117408"
"236","ENSG00000117410"
"237","ENSG00000117411"
"238","ENSG00000117419"
"239","ENSG00000117448"
"240","ENSG00000117450"
"241","ENSG00000117461"
"242","ENSG00000117475"
"243","ENSG00000117479"
"244","ENSG00000117481"
"245","ENSG00000117500"
"246","ENSG00000117505"
"247","ENSG00000117519"
"248","ENSG00000117523"
"249","ENSG00000117525"
"250","ENSG00000117528"
"251","ENSG00000117533"
"252","ENSG00000117543"
"253","ENSG00000117586"
"254","ENSG00000117592"
"255","ENSG00000117593"
"256","ENSG00000117597"
"257","ENSG00000117600"
"258","ENSG00000117602"
"259","ENSG00000117614"
"260","ENSG00000117616"
"261","ENSG00000117620"
"262","ENSG00000117625"
"263","ENSG00000117632"
"264","ENSG00000117640"
"265","ENSG00000117643"
"266","ENSG00000117650"
"267","ENSG00000117682"
"268","ENSG00000117713"
"269","ENSG00000117748"
"270","ENSG00000117751"
"271","ENSG00000117758"
"272","ENSG00000117859"
"273","ENSG00000117862"
"274","ENSG00000118197"
"275","ENSG00000118200"
"276","ENSG00000118217"
"277","ENSG00000118292"
"278","ENSG00000118454"
"279","ENSG00000118473"
"280","ENSG00000118655"
"281","ENSG00000120333"
"282","ENSG00000120334"
"283","ENSG00000120337"
"284","ENSG00000120370"
"285","ENSG00000120656"
"286","ENSG00000120942"
"287","ENSG00000120948"
"288","ENSG00000121310"
"289","ENSG00000121481"
"290","ENSG00000121486"
"291","ENSG00000121753"
"292","ENSG00000121766"
"293","ENSG00000121769"
"294","ENSG00000121774"
"295","ENSG00000121775"
"296","ENSG00000121851"
"297","ENSG00000121900"
"298","ENSG00000121903"
"299","ENSG00000121931"
"300","ENSG00000121940"
"301","ENSG00000121957"
"302","ENSG00000122176"
"303","ENSG00000122218"
"304","ENSG00000122406"
"305","ENSG00000122417"
"306","ENSG00000122420"
"307","ENSG00000122435"
"308","ENSG00000122481"
"309","ENSG00000122482"
"310","ENSG00000122483"
"311","ENSG00000122484"
"312","ENSG00000123080"
"313","ENSG00000123091"
"314","ENSG00000123472"
"315","ENSG00000123473"
"316","ENSG00000123684"
"317","ENSG00000123689"
"318","ENSG00000123836"
"319","ENSG00000125459"
"320","ENSG00000125703"
"321","ENSG00000125944"
"322","ENSG00000282958"
"323","ENSG00000125945"
"324","ENSG00000283009"
"325","ENSG00000126067"
"326","ENSG00000126070"
"327","ENSG00000126088"
"328","ENSG00000126106"
"329","ENSG00000126107"
"330","ENSG00000126698"
"331","ENSG00000285317"
"332","ENSG00000126705"
"333","ENSG00000126709"
"334","ENSG00000127054"
"335","ENSG00000127125"
"336","ENSG00000127463"
"337","ENSG00000127481"
"338","ENSG00000127483"
"339","ENSG00000127603"
"340","ENSG00000130695"
"341","ENSG00000130764"
"342","ENSG00000130766"
"343","ENSG00000285069"
"344","ENSG00000130770"
