"","x"
"1","ENSG00000168779"
"2","ENSG00000268388"
"3","ENSG00000146281"
"4","ENSG00000160801"
"5","ENSG00000102547"
"6","ENSG00000173641"
"7","ENSG00000156804"
"8","ENSG00000198759"
"9","ENSG00000273604"
"10","ENSG00000110723"
"11","ENSG00000196456"
"12","ENSG00000163644"
"13","ENSG00000074410"
"14","ENSG00000187837"
"15","ENSG00000272622"
"16","ENSG00000164647"
"17","ENSG00000154330"
"18","ENSG00000196972"
"19","ENSG00000166348"
"20","ENSG00000147119"
"21","ENSG00000000971"
"22","ENSG00000104763"
"23","ENSG00000106538"
"24","ENSG00000115648"
"25","ENSG00000156011"
"26","ENSG00000260563"
"27","ENSG00000174007"
"28","ENSG00000121898"
"29","ENSG00000069667"
"30","ENSG00000142910"
"31","ENSG00000185442"
"32","ENSG00000138028"
"33","ENSG00000076641"
"34","ENSG00000067141"
"35","ENSG00000061656"
"36","ENSG00000090530"
"37","ENSG00000181274"
"38","ENSG00000106351"
"39","ENSG00000184497"
"40","ENSG00000197358"
"41","ENSG00000164291"
"42","ENSG00000259207"
"43","ENSG00000136002"
"44","ENSG00000165507"
"45","ENSG00000204257"
"46","ENSG00000093009"
"47","ENSG00000254109"
"48","ENSG00000117461"
"49","ENSG00000078399"
"50","ENSG00000154277"
"51","ENSG00000170577"
"52","ENSG00000175832"
"53","ENSG00000081087"
"54","ENSG00000103888"
"55","ENSG00000285665"
"56","ENSG00000197769"
"57","ENSG00000100100"
"58","ENSG00000100979"
"59","ENSG00000132846"
"60","ENSG00000181751"
"61","ENSG00000113504"
"62","ENSG00000198932"
"63","ENSG00000107249"
"64","ENSG00000196754"
"65","ENSG00000182272"
"66","ENSG00000188783"
"67","ENSG00000149948"
"68","ENSG00000129038"
"69","ENSG00000161281"
"70","ENSG00000116729"
"71","ENSG00000134070"
"72","ENSG00000138131"
"73","ENSG00000181072"
"74","ENSG00000150687"
"75","ENSG00000106034"
"76","ENSG00000262576"
"77","ENSG00000115828"
"78","ENSG00000271334"
"79","ENSG00000164920"
"80","ENSG00000048740"
"81","ENSG00000124225"
"82","ENSG00000109107"
"83","ENSG00000240875"
"84","ENSG00000076258"
"85","ENSG00000257219"
"86","ENSG00000174032"
"87","ENSG00000162409"
"88","ENSG00000143162"
"89","ENSG00000065923"
"90","ENSG00000262655"
"91","ENSG00000158406"
"92","ENSG00000099219"
"93","ENSG00000196743"
"94","ENSG00000165912"
"95","ENSG00000231924"
"96","ENSG00000101000"
"97","ENSG00000064687"
"98","ENSG00000197321"
"99","ENSG00000092853"
"100","ENSG00000189057"
"101","ENSG00000101265"
"102","ENSG00000101856"
"103","ENSG00000138347"
"104","ENSG00000078401"
"105","ENSG00000102057"
"106","ENSG00000152256"
"107","ENSG00000170214"
"108","ENSG00000183508"
"109","ENSG00000103811"
"110","ENSG00000137563"
"111","ENSG00000001561"
"112","ENSG00000106772"
"113","ENSG00000170485"
"114","ENSG00000135919"
"115","ENSG00000128422"
"116","ENSG00000181754"
"117","ENSG00000173535"
"118","ENSG00000140945"
"119","ENSG00000112149"
"120","ENSG00000247095"
"121","ENSG00000099864"
"122","ENSG00000251369"
"123","ENSG00000211445"
"124","ENSG00000142583"
"125","ENSG00000274750"
"126","ENSG00000167191"
"127","ENSG00000100307"
"128","ENSG00000152952"
"129","ENSG00000176171"
"130","ENSG00000090006"
"131","ENSG00000105655"
"132","ENSG00000243927"
"133","ENSG00000197930"
"134","ENSG00000056998"
"135","ENSG00000139209"
"136","ENSG00000138311"
"137","ENSG00000125378"
"138","ENSG00000241749"
"139","ENSG00000256268"
"140","ENSG00000138495"
"141","ENSG00000145934"
"142","ENSG00000094804"
"143","ENSG00000277778"
"144","ENSG00000156466"
"145","ENSG00000135318"
"146","ENSG00000166165"
"147","ENSG00000229847"
"148","ENSG00000183696"
"149","ENSG00000162616"
"150","ENSG00000184347"
"151","ENSG00000178184"
"152","ENSG00000128602"
"153","ENSG00000135245"
"154","ENSG00000110092"
"155","ENSG00000108960"
"156","ENSG00000110203"
"157","ENSG00000121075"
"158","ENSG00000177363"
"159","ENSG00000267279"
"160","ENSG00000099204"
"161","ENSG00000273802"
"162","ENSG00000173705"
"163","ENSG00000213654"
"164","ENSG00000135424"
"165","ENSG00000158856"
"166","ENSG00000171729"
"167","ENSG00000166979"
"168","ENSG00000133985"
"169","ENSG00000003249"
"170","ENSG00000143476"
"171","ENSG00000186310"
"172","ENSG00000029534"
"173","ENSG00000163661"
"174","ENSG00000013293"
"175","ENSG00000081052"
"176","ENSG00000164764"
"177","ENSG00000136999"
"178","ENSG00000058085"
"179","ENSG00000114023"
"180","ENSG00000117600"
"181","ENSG00000105290"
"182","ENSG00000272031"
"183","ENSG00000179431"
"184","ENSG00000104332"
"185","ENSG00000157111"
"186","ENSG00000162493"
"187","ENSG00000078018"
"188","ENSG00000145730"
"189","ENSG00000197106"
"190","ENSG00000234819"
"191","ENSG00000170370"
"192","ENSG00000137463"
"193","ENSG00000173727"
"194","ENSG00000170458"
"195","ENSG00000213190"
"196","ENSG00000182013"
"197","ENSG00000273521"
"198","ENSG00000118898"
"199","ENSG00000183668"
"200","ENSG00000163013"
"201","ENSG00000063180"
"202","ENSG00000164122"
"203","ENSG00000186792"
"204","ENSG00000101938"
"205","ENSG00000123243"
"206","ENSG00000162645"
"207","ENSG00000163814"
"208","ENSG00000041982"
"209","ENSG00000137809"
"210","ENSG00000112096"
"211","ENSG00000236431"
"212","ENSG00000271930"
"213","ENSG00000154175"
"214","ENSG00000230928"
"215","ENSG00000109738"
"216","ENSG00000101412"
"217","ENSG00000177459"
"218","ENSG00000166482"
"219","ENSG00000108691"
"220","ENSG00000144681"
"221","ENSG00000114268"
"222","ENSG00000238207"
"223","ENSG00000136869"
"224","ENSG00000133805"
"225","ENSG00000204634"
"226","ENSG00000198743"
"227","ENSG00000183801"
"228","ENSG00000183346"
"229","ENSG00000105696"
"230","ENSG00000164176"
"231","ENSG00000152465"
"232","ENSG00000138449"
"233","ENSG00000127824"
"234","ENSG00000131386"
"235","ENSG00000111674"
"236","ENSG00000102359"
"237","ENSG00000107984"
"238","ENSG00000122176"
