"","x"
"1","ENSG00000168477"
"2","ENSG00000136960"
"3","ENSG00000163661"
"4","ENSG00000187955"
"5","ENSG00000165244"
"6","ENSG00000151725"
"7","ENSG00000159167"
"8","ENSG00000163739"
"9","ENSG00000013297"
"10","ENSG00000140285"
"11","ENSG00000132386"
"12","ENSG00000143476"
"13","ENSG00000204291"
"14","ENSG00000165480"
"15","ENSG00000129009"
"16","ENSG00000148773"
"17","ENSG00000155511"
"18","ENSG00000154856"
"19","ENSG00000105088"
"20","ENSG00000102760"
"21","ENSG00000104332"
"22","ENSG00000090889"
"23","ENSG00000111885"
"24","ENSG00000112742"
"25","ENSG00000182636"
"26","ENSG00000171848"
"27","ENSG00000131747"
"28","ENSG00000170962"
"29","ENSG00000105011"
"30","ENSG00000141574"
"31","ENSG00000075218"
"32","ENSG00000138180"
"33","ENSG00000169607"
"34","ENSG00000170312"
"35","ENSG00000108950"
"36","ENSG00000138061"
"37","ENSG00000143228"
"38","ENSG00000156970"
"39","ENSG00000105825"
"40","ENSG00000152253"
"41","ENSG00000092470"
"42","ENSG00000183508"
"43","ENSG00000183856"
"44","ENSG00000146670"
"45","ENSG00000166897"
"46","ENSG00000024526"
"47","ENSG00000167513"
"48","ENSG00000126787"
"49","ENSG00000100526"
"50","ENSG00000134690"
"51","ENSG00000154839"
"52","ENSG00000117724"
"53","ENSG00000237649"
"54","ENSG00000111247"
"55","ENSG00000137812"
"56","ENSG00000080986"
"57","ENSG00000115163"
"58","ENSG00000125965"
"59","ENSG00000253958"
"60","ENSG00000168078"
"61","ENSG00000088882"
"62","ENSG00000113368"
"63","ENSG00000236609"
"64","ENSG00000169679"
"65","ENSG00000178999"
"66","ENSG00000175063"
"67","ENSG00000101057"
"68","ENSG00000120149"
"69","ENSG00000123485"
"70","ENSG00000069702"
"71","ENSG00000138182"
"72","ENSG00000184661"
"73","ENSG00000122966"
"74","ENSG00000005249"
"75","ENSG00000076382"
"76","ENSG00000109805"
"77","ENSG00000179750"
"78","ENSG00000158270"
"79","ENSG00000115594"
"80","ENSG00000101412"
"81","ENSG00000100162"
"82","ENSG00000072571"
"83","ENSG00000171241"
"84","ENSG00000198795"
"85","ENSG00000169071"
"86","ENSG00000122952"
"87","ENSG00000136999"
"88","ENSG00000140525"
"89","ENSG00000161544"
"90","ENSG00000138160"
"91","ENSG00000125378"
"92","ENSG00000142945"
"93","ENSG00000071539"
"94","ENSG00000089685"
"95","ENSG00000178695"
"96","ENSG00000066279"
"97","ENSG00000117650"
"98","ENSG00000108691"
"99","ENSG00000196460"
"100","ENSG00000129195"
"101","ENSG00000106484"
"102","ENSG00000100297"
"103","ENSG00000123080"
"104","ENSG00000165092"
"105","ENSG00000145386"
"106","ENSG00000184557"
"107","ENSG00000124212"
"108","ENSG00000276043"
"109","ENSG00000101003"
"110","ENSG00000159403"
"111","ENSG00000177363"
"112","ENSG00000138778"
"113","ENSG00000157456"
"114","ENSG00000165633"
"115","ENSG00000117399"
"116","ENSG00000136826"
"117","ENSG00000156802"
"118","ENSG00000112984"
"119","ENSG00000144354"
"120","ENSG00000164109"
"121","ENSG00000088325"
"122","ENSG00000011426"
"123","ENSG00000166851"
"124","ENSG00000129048"
"125","ENSG00000137310"
"126","ENSG00000106538"
"127","ENSG00000068489"
"128","ENSG00000080839"
"129","ENSG00000196549"
"130","ENSG00000145147"
"131","ENSG00000116741"
"132","ENSG00000133687"
"133","ENSG00000011465"
"134","ENSG00000013619"
"135","ENSG00000109625"
"136","ENSG00000185483"
"137","ENSG00000106123"
"138","ENSG00000162407"
"139","ENSG00000131459"
"140","ENSG00000161888"
"141","ENSG00000101938"
"142","ENSG00000104738"
"143","ENSG00000169184"
"144","ENSG00000122176"
"145","ENSG00000168398"
"146","ENSG00000163535"
"147","ENSG00000134853"
"148","ENSG00000198554"
"149","ENSG00000133119"
"150","ENSG00000111665"
"151","ENSG00000157404"
"152","ENSG00000101447"
"153","ENSG00000185585"
"154","ENSG00000118849"
"155","ENSG00000189058"
"156","ENSG00000160957"
"157","ENSG00000186469"
"158","ENSG00000177084"
"159","ENSG00000112118"
"160","ENSG00000112029"
"161","ENSG00000164920"
"162","ENSG00000184445"
"163","ENSG00000053747"
"164","ENSG00000013810"
"165","ENSG00000090006"
"166","ENSG00000175832"
"167","ENSG00000122483"
"168","ENSG00000051180"
"169","ENSG00000153044"
"170","ENSG00000139354"
"171","ENSG00000048740"
"172","ENSG00000172716"
"173","ENSG00000166106"
"174","ENSG00000203760"
"175","ENSG00000161800"
"176","ENSG00000198826"
"177","ENSG00000087586"
"178","ENSG00000106976"
"179","ENSG00000139200"
"180","ENSG00000180875"
"181","ENSG00000197632"
"182","ENSG00000146918"
"183","ENSG00000164611"
"184","ENSG00000101868"
"185","ENSG00000151849"
"186","ENSG00000119397"
"187","ENSG00000167670"
"188","ENSG00000204634"
"189","ENSG00000111052"
"190","ENSG00000189129"
"191","ENSG00000134057"
"192","ENSG00000007944"
"193","ENSG00000146411"
"194","ENSG00000196639"
"195","ENSG00000105989"
"196","ENSG00000109084"
"197","ENSG00000164949"
"198","ENSG00000121957"
"199","ENSG00000109881"
"200","ENSG00000197457"
"201","ENSG00000113810"
"202","ENSG00000225968"
"203","ENSG00000000971"
"204","ENSG00000178573"
"205","ENSG00000167191"
"206","ENSG00000213694"
"207","ENSG00000103888"
"208","ENSG00000164104"
"209","ENSG00000173207"
"210","ENSG00000123975"
"211","ENSG00000168496"
"212","ENSG00000116106"
"213","ENSG00000122861"
"214","ENSG00000149131"
"215","ENSG00000105048"
