"","x"
"1","ENSG00000176022"
"2","ENSG00000196581"
"3","ENSG00000116273"
"4","ENSG00000116285"
"5","ENSG00000227634"
"6","ENSG00000171621"
"7","ENSG00000284693"
"8","ENSG00000054523"
"9","ENSG00000065526"
"10","ENSG00000117115"
"11","ENSG00000204362"
"12","ENSG00000142623"
"13","ENSG00000179051"
"14","ENSG00000169641"
"15","ENSG00000249087"
"16","ENSG00000169504"
"17","ENSG00000260063"
"18","ENSG00000162510"
"19","ENSG00000186056"
"20","ENSG00000184007"
"21","ENSG00000116560"
"22","ENSG00000134698"
"23","ENSG00000127603"
"24","ENSG00000171793"
"25","ENSG00000010803"
"26","ENSG00000227533"
"27","ENSG00000157077"
"28","ENSG00000223956"
"29","ENSG00000172456"
"30","ENSG00000266150"
"31","ENSG00000162599"
"32","ENSG00000116641"
"33","ENSG00000185483"
"34","ENSG00000116678"
"35","ENSG00000184588"
"36","ENSG00000118473"
"37","ENSG00000116704"
"38","ENSG00000097096"
"39","ENSG00000153904"
"40","ENSG00000143013"
"41","ENSG00000069702"
"42","ENSG00000023909"
"43","ENSG00000226053"
"44","ENSG00000060718"
"45","ENSG00000134243"
"46","ENSG00000143106"
"47","ENSG00000184371"
"48","ENSG00000258673"
"49","ENSG00000134198"
"50","ENSG00000228035"
"51","ENSG00000173218"
"52","ENSG00000163393"
"53","ENSG00000265107"
"54","ENSG00000249730"
"55","ENSG00000132703"
"56","ENSG00000117152"
"57","ENSG00000143228"
"58","ENSG00000185630"
"59","ENSG00000116132"
"60","ENSG00000117560"
"61","ENSG00000120337"
"62","ENSG00000117586"
"63","ENSG00000224977"
"64","ENSG00000235750"
"65","ENSG00000116191"
"66","ENSG00000162783"
"67","ENSG00000135862"
"68","ENSG00000058085"
"69","ENSG00000157064"
"70","ENSG00000261024"
"71","ENSG00000228309"
"72","ENSG00000261729"
"73","ENSG00000143341"
"74","ENSG00000213047"
"75","ENSG00000151414"
"76","ENSG00000081237"
"77","ENSG00000203721"
"78","ENSG00000162702"
"79","ENSG00000224536"
"80","ENSG00000264802"
