"","x"
"246","ENSG00000169100"
"247","ENSG00000233426"
"248","ENSG00000105048"
"249","ENSG00000089157"
"250","ENSG00000170365"
"251","ENSG00000241431"
"252","ENSG00000244398"
"253","ENSG00000133321"
"254","ENSG00000213318"
"255","ENSG00000234648"
"256","ENSG00000136826"
"257","ENSG00000122641"
"258","ENSG00000282057"
"259","ENSG00000280195"
"260","ENSG00000126603"
"261","ENSG00000215030"
"262","ENSG00000153879"
"263","ENSG00000134602"
"264","ENSG00000171606"
"265","ENSG00000178031"
"266","ENSG00000105373"
"267","ENSG00000115758"
"268","ENSG00000230979"
"269","ENSG00000140105"
"270","ENSG00000186594"
"271","ENSG00000224468"
"272","ENSG00000092820"
"273","ENSG00000061337"
"274","ENSG00000175886"
"275","ENSG00000149257"
"276","ENSG00000133106"
"277","ENSG00000234335"
"278","ENSG00000158290"
"279","ENSG00000115738"
"280","ENSG00000145604"
"281","ENSG00000206190"
"282","ENSG00000176697"
"283","ENSG00000219023"
"284","ENSG00000214485"
"285","ENSG00000005059"
"286","ENSG00000124145"
"287","ENSG00000167658"
"288","ENSG00000253958"
"289","ENSG00000063046"
"290","ENSG00000219747"
"291","ENSG00000224012"
"292","ENSG00000244073"
"293","ENSG00000235554"
"294","ENSG00000136732"
"295","ENSG00000178464"
"296","ENSG00000233913"
"297","ENSG00000138650"
"298","ENSG00000177426"
"299","ENSG00000138166"
"300","ENSG00000267257"
"301","ENSG00000143322"
"302","ENSG00000220472"
"303","ENSG00000143384"
"304","ENSG00000238273"
"305","ENSG00000067798"
"306","ENSG00000064666"
"307","ENSG00000181218"
"308","ENSG00000166441"
"309","ENSG00000213312"
"310","ENSG00000230207"
"311","ENSG00000240950"
"312","ENSG00000240376"
"313","ENSG00000142937"
"314","ENSG00000235859"
"315","ENSG00000240087"
"316","ENSG00000147403"
"317","ENSG00000233668"
"318","ENSG00000136149"
"319","ENSG00000162746"
"320","ENSG00000105281"
"321","ENSG00000133466"
"322","ENSG00000162702"
"323","ENSG00000212802"
"324","ENSG00000197093"
"325","ENSG00000076604"
"326","ENSG00000213820"
"327","ENSG00000071282"
"328","ENSG00000117592"
"329","ENSG00000137193"
"330","ENSG00000137868"
"331","ENSG00000165891"
"332","ENSG00000153976"
