#p q x1 x2 x3 df/dx3
10.000000 0.111020 1.313838 0.037204 0.086979 0.005490
10.000000 0.111020 1.324437 0.036570 0.087975 -0.005486
10.000000 0.111030 1.310836 0.037385 0.086699 0.008574
10.000000 0.111030 1.327384 0.036395 0.088254 -0.008564
10.000000 0.111040 1.308651 0.037517 0.086496 0.010812
10.000000 0.111040 1.329515 0.036269 0.088457 -0.010796
10.000000 0.111050 1.306841 0.037627 0.086329 0.012661
10.000000 0.111050 1.331271 0.036165 0.088624 -0.012638
10.000000 0.111060 1.305260 0.037723 0.086183 0.014273
10.000000 0.111060 1.332797 0.036075 0.088770 -0.014244
10.000000 0.111070 1.303838 0.037810 0.086051 0.015720
10.000000 0.111070 1.334165 0.035995 0.088901 -0.015685
10.000000 0.111080 1.302534 0.037890 0.085931 0.017046
10.000000 0.111080 1.335415 0.035922 0.089021 -0.017004
10.000000 0.111090 1.301322 0.037964 0.085820 0.018275
10.000000 0.111090 1.336572 0.035854 0.089132 -0.018227
10.000000 0.111100 1.300186 0.038033 0.085716 0.019427
10.000000 0.111100 1.337655 0.035790 0.089236 -0.019373
10.000000 0.111110 1.299111 0.038099 0.085617 0.020514
10.000000 0.111110 1.338675 0.035731 0.089335 -0.020454
10.000000 0.111120 1.298089 0.038162 0.085523 0.021547
10.000000 0.111120 1.339642 0.035674 0.089428 -0.021480
10.000000 0.111130 1.297113 0.038222 0.085434 0.022532
10.000000 0.111130 1.340564 0.035620 0.089517 -0.022459
10.000000 0.111140 1.296177 0.038279 0.085349 0.023476
10.000000 0.111140 1.341446 0.035569 0.089602 -0.023397
10.000000 0.111150 1.295276 0.038335 0.085266 0.024383
10.000000 0.111150 1.295276 0.038335 0.085266 0.024384
10.000000 0.111150 1.342293 0.035520 0.089684 -0.024298
10.000000 0.111150 1.342293 0.035520 0.089684 -0.024299
10.000000 0.111160 1.294407 0.038388 0.085187 0.025258
10.000000 0.111160 1.343108 0.035472 0.089763 -0.025167
10.000000 0.111170 1.293565 0.038440 0.085111 0.026104
10.000000 0.111170 1.343895 0.035427 0.089839 -0.026007
10.000000 0.111180 1.292750 0.038491 0.085036 0.026923
10.000000 0.111180 1.344656 0.035382 0.089913 -0.026820
10.000000 0.111180 1.344657 0.035382 0.089913 -0.026820
10.000000 0.111190 1.291957 0.038540 0.084964 0.027718
10.000000 0.111190 1.345395 0.035340 0.089985 -0.027608
10.000000 0.111200 1.291187 0.038587 0.084894 0.028491
10.000000 0.111200 1.346111 0.035298 0.090055 -0.028375
10.000000 0.111210 1.290435 0.038634 0.084826 0.029243
10.000000 0.111210 1.346808 0.035258 0.090123 -0.029121
10.000000 0.111220 1.289702 0.038679 0.084760 0.029976
10.000000 0.111220 1.347487 0.035219 0.090189 -0.029848
10.000000 0.111230 1.288986 0.038724 0.084695 0.030692
10.000000 0.111230 1.348149 0.035180 0.090253 -0.030558
10.000000 0.111240 1.288286 0.038767 0.084632 0.031391
10.000000 0.111240 1.348795 0.035143 0.090316 -0.031251
10.000000 0.111250 1.287600 0.038810 0.084570 0.032076
10.000000 0.111250 1.349426 0.035107 0.090378 -0.031929
10.000000 0.111250 1.349427 0.035107 0.090378 -0.031929
10.000000 0.111260 1.286929 0.038852 0.084509 0.032746
10.000000 0.111260 1.350044 0.035071 0.090439 -0.032593
10.000000 0.111270 1.286270 0.038893 0.084450 0.033402
10.000000 0.111270 1.350649 0.035036 0.090498 -0.033243
10.000000 0.111280 1.285623 0.038933 0.084391 0.034046
10.000000 0.111280 1.351241 0.035002 0.090556 -0.033880
10.000000 0.111290 1.284988 0.038972 0.084334 0.034677
10.000000 0.111290 1.351822 0.034969 0.090613 -0.034506
10.000000 0.111300 1.284364 0.039011 0.084278 0.035298
10.000000 0.111300 1.352392 0.034936 0.090669 -0.035120
10.000000 0.111310 1.283751 0.039050 0.084223 0.035907
10.000000 0.111310 1.352951 0.034904 0.090723 -0.035724
10.000000 0.111310 1.352951 0.034904 0.090724 -0.035724
10.000000 0.111320 1.283147 0.039087 0.084169 0.036507
10.000000 0.111320 1.353501 0.034872 0.090778 -0.036317
10.000000 0.111330 1.282553 0.039125 0.084115 0.037097
10.000000 0.111330 1.354041 0.034841 0.090831 -0.036901
10.000000 0.111340 1.281967 0.039161 0.084063 0.037677
10.000000 0.111340 1.354573 0.034811 0.090883 -0.037475
10.000000 0.111350 1.281390 0.039197 0.084011 0.038249
10.000000 0.111350 1.355096 0.034781 0.090934 -0.038040
10.000000 0.111360 1.280821 0.039233 0.083960 0.038812
10.000000 0.111360 1.355610 0.034751 0.090985 -0.038597
10.000000 0.111370 1.280260 0.039268 0.083910 0.039367
10.000000 0.111370 1.356117 0.034722 0.091035 -0.039146
10.000000 0.111380 1.279707 0.039303 0.083860 0.039914
10.000000 0.111380 1.356617 0.034694 0.091084 -0.039687
10.000000 0.111390 1.279160 0.039337 0.083811 0.040454
10.000000 0.111390 1.357109 0.034665 0.091133 -0.040221
10.000000 0.111400 1.278621 0.039371 0.083763 0.040987
10.000000 0.111400 1.357595 0.034638 0.091181 -0.040748
10.000000 0.111410 1.278088 0.039405 0.083715 0.041513
10.000000 0.111410 1.358073 0.034610 0.091228 -0.041267
10.000000 0.111420 1.277562 0.039438 0.083668 0.042032
10.000000 0.111420 1.358546 0.034583 0.091275 -0.041780
10.000000 0.111420 1.358546 0.034583 0.091275 -0.041781
10.000000 0.111430 1.277041 0.039471 0.083622 0.042545
10.000000 0.111430 1.359012 0.034557 0.091321 -0.042287
10.000000 0.111440 1.276527 0.039503 0.083576 0.043051
10.000000 0.111440 1.359472 0.034530 0.091367 -0.042788
10.000000 0.111440 1.359473 0.034530 0.091367 -0.042788
10.000000 0.111450 1.276018 0.039535 0.083531 0.043552
10.000000 0.111450 1.359927 0.034505 0.091412 -0.043282
10.000000 0.111460 1.275515 0.039567 0.083486 0.044047
10.000000 0.111460 1.360376 0.034479 0.091456 -0.043771
10.000000 0.111470 1.275017 0.039598 0.083442 0.044537
10.000000 0.111470 1.360820 0.034454 0.091500 -0.044255
10.000000 0.111480 1.274524 0.039630 0.083398 0.045021
10.000000 0.111480 1.274525 0.039630 0.083398 0.045021
10.000000 0.111480 1.361259 0.034429 0.091544 -0.044733
10.000000 0.111490 1.274037 0.039660 0.083355 0.045500
10.000000 0.111490 1.361692 0.034404 0.091587 -0.045205
10.000000 0.111490 1.361692 0.034404 0.091587 -0.045206
10.000000 0.111490 1.361693 0.034404 0.091587 -0.045206
10.000000 0.111500 1.273554 0.039691 0.083312 0.045974
10.000000 0.111500 1.362121 0.034380 0.091630 -0.045673
10.000000 0.111510 1.273076 0.039721 0.083269 0.046443
10.000000 0.111510 1.362545 0.034356 0.091672 -0.046136
10.000000 0.111520 1.272602 0.039751 0.083227 0.046907
10.000000 0.111520 1.272603 0.039751 0.083227 0.046907
10.000000 0.111520 1.362965 0.034332 0.091714 -0.046594
10.000000 0.111530 1.272133 0.039781 0.083186 0.047367
10.000000 0.111530 1.363380 0.034308 0.091755 -0.047048
10.000000 0.111540 1.271669 0.039810 0.083144 0.047822
10.000000 0.111540 1.363791 0.034285 0.091796 -0.047497
10.000000 0.111550 1.271208 0.039840 0.083104 0.048273
10.000000 0.111550 1.364198 0.034262 0.091836 -0.047942
10.000000 0.111560 1.270751 0.039869 0.083063 0.048719
10.000000 0.111560 1.364600 0.034239 0.091877 -0.048382
10.000000 0.111560 1.364600 0.034239 0.091877 -0.048383
10.000000 0.111570 1.270299 0.039897 0.083023 0.049162
10.000000 0.111570 1.364999 0.034217 0.091916 -0.048819
10.000000 0.111580 1.269850 0.039926 0.082983 0.049601
10.000000 0.111580 1.365394 0.034194 0.091956 -0.049251
10.000000 0.111580 1.365394 0.034194 0.091956 -0.049252
10.000000 0.111590 1.269405 0.039954 0.082944 0.050035
10.000000 0.111590 1.365785 0.034172 0.091995 -0.049680
10.000000 0.111600 1.268964 0.039982 0.082905 0.050466
10.000000 0.111600 1.366173 0.034150 0.092034 -0.050105
10.000000 0.111610 1.268526 0.040010 0.082866 0.050893
10.000000 0.111610 1.366557 0.034128 0.092072 -0.050526
10.000000 0.111620 1.268091 0.040038 0.082828 0.051317
10.000000 0.111620 1.366937 0.034107 0.092110 -0.050944
10.000000 0.111630 1.267660 0.040065 0.082790 0.051737
10.000000 0.111630 1.367314 0.034086 0.092148 -0.051358
10.000000 0.111640 1.267233 0.040092 0.082752 0.052154
10.000000 0.111640 1.367688 0.034065 0.092185 -0.051768
10.000000 0.111650 1.266808 0.040120 0.082715 0.052567
10.000000 0.111650 1.368059 0.034044 0.092222 -0.052176
10.000000 0.111660 1.266387 0.040146 0.082678 0.052977
10.000000 0.111660 1.368426 0.034023 0.092259 -0.052580
10.000000 0.111670 1.265969 0.040173 0.082641 0.053384
10.000000 0.111670 1.368790 0.034002 0.092296 -0.052980
10.000000 0.111670 1.368791 0.034002 0.092296 -0.052980
10.000000 0.111670 1.368791 0.034002 0.092296 -0.052981
10.000000 0.111680 1.265553 0.040200 0.082605 0.053788
10.000000 0.111680 1.369152 0.033982 0.092332 -0.053378
10.000000 0.111690 1.265141 0.040226 0.082568 0.054189
10.000000 0.111690 1.369510 0.033962 0.092368 -0.053773
10.000000 0.111700 1.264732 0.040252 0.082532 0.054587
10.000000 0.111700 1.369866 0.033942 0.092404 -0.054164
10.000000 0.111700 1.369866 0.033942 0.092404 -0.054165
10.000000 0.111710 1.264325 0.040278 0.082497 0.054981
10.000000 0.111710 1.370219 0.033922 0.092439 -0.054553
10.000000 0.111720 1.263921 0.040304 0.082461 0.055373
10.000000 0.111720 1.370569 0.033902 0.092475 -0.054939
10.000000 0.111730 1.263520 0.040330 0.082426 0.055763
10.000000 0.111730 1.370916 0.033883 0.092509 -0.055322
10.000000 0.111740 1.263122 0.040355 0.082391 0.056149
10.000000 0.111740 1.371261 0.033863 0.092544 -0.055703
10.000000 0.111750 1.262726 0.040381 0.082356 0.056533
10.000000 0.111750 1.371603 0.033844 0.092579 -0.056080
10.000000 0.111760 1.262332 0.040406 0.082322 0.056914
10.000000 0.111760 1.371943 0.033825 0.092613 -0.056455
