1	24	0.993375993	0.78771594	0.887579437
1	36	1.231840233	0.983579338	0.607983052
1	47	1.361008363	1.351616353	0.551560616
1	53	1.579600584	1.452580295	0.469669937
				
2	24	1.033120033	1.163943784	1.257194123
2	36	1.251712253	1.182455539	0.933054288
2	47	1.361008363	1.63532435	0.778220593
2	53	1.430560433	1.210829177	0.511166932
				
3	24	0.973503973	1.048340276	0.85522644
3	36	1.301392303	1.281520898	0.651354881
3	47	1.380880383	1.52974213	0.605414909
3	53	1.460368463	1.242313095	0.634077126
