Cell_type,sample,group,result
HFF,PDL24,Control,0.78771594
HFF,PDL36,Control,0.983579338
HFF,PDL47,Control,1.351616353
HFF,PDL53,Control,1.452580295
HFF,PDL24,Control,1.163943784
HFF,PDL36,Control,1.182455539
HFF,PDL47,Control,1.63532435
HFF,PDL53,Control,1.210829177
HFF,PDL24,Control,1.048340276
HFF,PDL36,Control,1.281520898
HFF,PDL47,Control,1.52974213
HFF,PDL53,Control,1.242313095
