#p q x1 x2 x3 df/dx3
10.000000 0.115000 1.183171 0.045748 0.075689 0.130180
10.000000 0.115000 1.434096 0.030459 0.099159 -0.127876
10.000000 0.120000 1.110488 0.051161 0.070074 0.191816
10.000000 0.120000 1.482035 0.028024 0.104638 -0.187084
10.000000 0.120000 1.482036 0.028024 0.104638 -0.187084
10.000000 0.125000 1.056068 0.055573 0.066122 0.234665
10.000000 0.125000 1.513371 0.026503 0.108451 -0.227961
10.000000 0.130000 1.011006 0.059487 0.062993 0.268087
10.000000 0.130000 1.536842 0.025398 0.111440 -0.259810
10.000000 0.135000 0.972060 0.063078 0.060381 0.295498
10.000000 0.135000 1.555545 0.024538 0.113910 -0.286000
10.000000 0.140000 0.937580 0.066432 0.058135 0.318634
10.000000 0.140000 1.571007 0.023840 0.116015 -0.308224
10.000000 0.145000 0.906572 0.069598 0.056164 0.338532
10.000000 0.145000 1.584110 0.023258 0.117846 -0.327482
10.000000 0.150000 0.878377 0.072609 0.054408 0.355874
10.000000 0.150000 1.595415 0.022762 0.119462 -0.344426
10.000000 0.155000 0.852526 0.075487 0.052828 0.371141
10.000000 0.155000 0.852526 0.075488 0.052828 0.371141
10.000000 0.155000 1.605306 0.022334 0.120904 -0.359508
10.000000 0.160000 0.828671 0.078249 0.051392 0.384687
10.000000 0.160000 1.614056 0.021958 0.122203 -0.373057
10.000000 0.165000 0.806540 0.080906 0.050079 0.396781
10.000000 0.165000 1.621868 0.021626 0.123382 -0.385322
10.000000 0.170000 0.785918 0.083469 0.048870 0.407637
10.000000 0.170000 1.628894 0.021330 0.124457 -0.396494
10.000000 0.175000 0.766631 0.085946 0.047752 0.417423
10.000000 0.175000 1.635257 0.021064 0.125444 -0.406727
10.000000 0.180000 0.748534 0.088343 0.046714 0.426278
10.000000 0.180000 1.641050 0.020823 0.126354 -0.416144
10.000000 0.185000 0.731506 0.090667 0.045745 0.434316
10.000000 0.185000 1.646352 0.020603 0.127196 -0.424846
10.000000 0.190000 0.715443 0.092921 0.044839 0.441633
10.000000 0.190000 1.651225 0.020403 0.127978 -0.432917
10.000000 0.195000 0.700256 0.095110 0.043988 0.448311
10.000000 0.195000 1.655722 0.020219 0.128707 -0.440427
10.000000 0.200000 0.685869 0.097238 0.043187 0.454418
10.000000 0.200000 1.659887 0.020049 0.129388 -0.447436
10.000000 0.205000 0.672214 0.099308 0.042432 0.460015
10.000000 0.205000 1.663755 0.019893 0.130026 -0.453995
10.000000 0.210000 0.659232 0.101323 0.041718 0.465152
10.000000 0.210000 1.667360 0.019747 0.130625 -0.460148
10.000000 0.215000 0.646871 0.103286 0.041041 0.469875
10.000000 0.215000 1.670728 0.019611 0.131189 -0.465934
10.000000 0.220000 0.635084 0.105198 0.040398 0.474224
10.000000 0.220000 1.673882 0.019485 0.131721 -0.471385
10.000000 0.225000 0.623830 0.107064 0.039787 0.478233
10.000000 0.225000 1.676843 0.019367 0.132223 -0.476532
10.000000 0.230000 0.613070 0.108883 0.039205 0.481933
10.000000 0.230000 1.679628 0.019256 0.132699 -0.481399
10.000000 0.230000 1.679629 0.019256 0.132699 -0.481399
10.000000 0.235000 0.602772 0.110659 0.038650 0.485351
10.000000 0.235000 1.682254 0.019151 0.133150 -0.486010
10.000000 0.240000 0.592905 0.112394 0.038120 0.488511
10.000000 0.240000 1.684733 0.019053 0.133578 -0.490385
10.000000 0.245000 0.583440 0.114087 0.037613 0.491436
10.000000 0.245000 1.687078 0.018961 0.133985 -0.494542
10.000000 0.250000 0.574353 0.115743 0.037127 0.494145
10.000000 0.250000 1.689299 0.018873 0.134373 -0.498498
10.000000 0.255000 0.565621 0.117360 0.036661 0.496655
10.000000 0.255000 1.691407 0.018790 0.134742 -0.502267
10.000000 0.260000 0.557222 0.118942 0.036214 0.498983
10.000000 0.260000 1.693410 0.018711 0.135095 -0.505863
10.000000 0.265000 0.549138 0.120490 0.035785 0.501142
10.000000 0.265000 1.695316 0.018637 0.135432 -0.509297
10.000000 0.270000 0.541349 0.122003 0.035372 0.503147
10.000000 0.270000 0.541349 0.122004 0.035372 0.503147
10.000000 0.270000 1.697132 0.018566 0.135755 -0.512580
10.000000 0.275000 0.533841 0.123485 0.034974 0.505007
10.000000 0.275000 0.533841 0.123485 0.034974 0.505008
10.000000 0.275000 1.698864 0.018498 0.136064 -0.515723
10.000000 0.280000 0.526596 0.124935 0.034591 0.506736
10.000000 0.280000 0.526597 0.124935 0.034591 0.506736
10.000000 0.280000 1.700517 0.018434 0.136360 -0.518734
10.000000 0.285000 0.519603 0.126355 0.034222 0.508341
10.000000 0.285000 1.702099 0.018372 0.136644 -0.521621
10.000000 0.290000 0.512847 0.127746 0.033865 0.509832
10.000000 0.290000 1.703612 0.018314 0.136917 -0.524393
10.000000 0.295000 0.506315 0.129108 0.033521 0.511218
10.000000 0.295000 0.506316 0.129108 0.033521 0.511218
10.000000 0.295000 1.705061 0.018257 0.137179 -0.527056
10.000000 0.300000 0.499998 0.130443 0.033188 0.512505
10.000000 0.300000 1.706451 0.018204 0.137431 -0.529616
10.000000 0.300000 1.706451 0.018204 0.137431 -0.529617
10.000000 0.305000 0.493885 0.131752 0.032867 0.513701
10.000000 0.305000 1.707785 0.018152 0.137674 -0.532080
10.000000 0.310000 0.487965 0.133034 0.032555 0.514812
10.000000 0.310000 1.709066 0.018103 0.137908 -0.534453
10.000000 0.315000 0.482229 0.134292 0.032254 0.515844
10.000000 0.315000 1.710297 0.018055 0.138133 -0.536740
10.000000 0.320000 0.476669 0.135525 0.031962 0.516802
10.000000 0.320000 1.711482 0.018010 0.138351 -0.538945
10.000000 0.325000 0.471277 0.136735 0.031679 0.517692
10.000000 0.325000 1.712623 0.017966 0.138561 -0.541073
10.000000 0.330000 0.466045 0.137921 0.031404 0.518517
10.000000 0.330000 0.466046 0.137921 0.031404 0.518517
10.000000 0.330000 1.713722 0.017923 0.138764 -0.543128
10.000000 0.335000 0.460967 0.139086 0.031138 0.519282
10.000000 0.335000 1.714782 0.017883 0.138960 -0.545113
10.000000 0.340000 0.456034 0.140229 0.030879 0.519992
10.000000 0.340000 1.715804 0.017844 0.139149 -0.547033
10.000000 0.345000 0.451242 0.141350 0.030628 0.520648
10.000000 0.345000 1.716792 0.017806 0.139333 -0.548891
10.000000 0.350000 0.446584 0.142451 0.030383 0.521256
10.000000 0.350000 1.717745 0.017769 0.139511 -0.550688
10.000000 0.355000 0.442055 0.143533 0.030146 0.521818
10.000000 0.355000 1.718667 0.017734 0.139683 -0.552429
10.000000 0.360000 0.437649 0.144594 0.029915 0.522337
10.000000 0.360000 1.719559 0.017700 0.139850 -0.554116
10.000000 0.365000 0.433361 0.145637 0.029690 0.522816
10.000000 0.365000 1.720422 0.017667 0.140011 -0.555752
10.000000 0.370000 0.429187 0.146662 0.029471 0.523257
10.000000 0.370000 1.721257 0.017635 0.140168 -0.557338
10.000000 0.375000 0.425122 0.147668 0.029258 0.523663
10.000000 0.375000 1.722066 0.017605 0.140321 -0.558877
10.000000 0.375000 1.722066 0.017605 0.140321 -0.558878
10.000000 0.375000 1.722067 0.017605 0.140321 -0.558878
10.000000 0.380000 0.421162 0.148658 0.029050 0.524035
10.000000 0.380000 1.722851 0.017575 0.140469 -0.560372
10.000000 0.385000 0.417304 0.149630 0.028847 0.524376
10.000000 0.385000 0.417304 0.149630 0.028847 0.524377
10.000000 0.385000 1.723612 0.017546 0.140612 -0.561823
10.000000 0.385000 1.723612 0.017546 0.140612 -0.561824
10.000000 0.390000 0.413542 0.150585 0.028650 0.524689
10.000000 0.390000 1.724350 0.017518 0.140752 -0.563234
10.000000 0.395000 0.409873 0.151524 0.028457 0.524973
10.000000 0.395000 1.725066 0.017491 0.140888 -0.564605
10.000000 0.400000 0.406295 0.152448 0.028269 0.525232
10.000000 0.400000 1.725762 0.017464 0.141020 -0.565938
10.000000 0.405000 0.402804 0.153356 0.028086 0.525467
10.000000 0.405000 1.726438 0.017439 0.141148 -0.567236
10.000000 0.410000 0.399396 0.154249 0.027907 0.525678
10.000000 0.410000 1.727095 0.017414 0.141274 -0.568498
10.000000 0.415000 0.396069 0.155127 0.027732 0.525869
10.000000 0.415000 1.727734 0.017390 0.141395 -0.569727
10.000000 0.420000 0.392820 0.155992 0.027561 0.526039
10.000000 0.420000 1.728355 0.017366 0.141514 -0.570924
10.000000 0.425000 0.389647 0.156842 0.027394 0.526190
10.000000 0.425000 1.728959 0.017343 0.141630 -0.572091
10.000000 0.430000 0.386545 0.157678 0.027231 0.526324
10.000000 0.430000 1.729548 0.017321 0.141743 -0.573227
10.000000 0.435000 0.383514 0.158501 0.027071 0.526441
10.000000 0.435000 0.383515 0.158501 0.027071 0.526441
10.000000 0.435000 1.730121 0.017300 0.141853 -0.574336
10.000000 0.440000 0.380551 0.159311 0.026915 0.526542
10.000000 0.440000 1.730679 0.017279 0.141960 -0.575416
10.000000 0.445000 0.377654 0.160109 0.026762 0.526628
10.000000 0.445000 1.731223 0.017258 0.142064 -0.576471
10.000000 0.450000 0.374820 0.160893 0.026613 0.526700
10.000000 0.450000 1.731753 0.017238 0.142167 -0.577500
10.000000 0.455000 0.372048 0.161666 0.026466 0.526759
10.000000 0.455000 1.732270 0.017219 0.142266 -0.578504
10.000000 0.455000 1.732271 0.017219 0.142266 -0.578504
10.000000 0.460000 0.369335 0.162427 0.026323 0.526806
10.000000 0.460000 1.732775 0.017200 0.142364 -0.579485
10.000000 0.465000 0.366679 0.163176 0.026183 0.526841
10.000000 0.465000 1.733267 0.017181 0.142459 -0.580443
10.000000 0.470000 0.364080 0.163914 0.026046 0.526866
10.000000 0.470000 1.733747 0.017163 0.142552 -0.581379
10.000000 0.475000 0.361534 0.164641 0.025911 0.526880
10.000000 0.475000 1.734216 0.017145 0.142643 -0.582294
10.000000 0.480000 0.359041 0.165357 0.025779 0.526884
10.000000 0.480000 0.359042 0.165356 0.025779 0.526884
10.000000 0.480000 1.734674 0.017128 0.142731 -0.583188
10.000000 0.485000 0.356599 0.166062 0.025650 0.526879
10.000000 0.485000 1.735121 0.017111 0.142818 -0.584062
10.000000 0.490000 0.354206 0.166756 0.025523 0.526866
10.000000 0.490000 0.354207 0.166756 0.025523 0.526866
10.000000 0.490000 1.735559 0.017095 0.142903 -0.584918
10.000000 0.495000 0.351862 0.167441 0.025399 0.526845
10.000000 0.495000 1.735986 0.017079 0.142986 -0.585754
10.000000 0.500000 0.349563 0.168116 0.025277 0.526816
10.000000 0.500000 1.736403 0.017063 0.143068 -0.586573
10.000000 0.500000 1.736404 0.017063 0.143068 -0.586573
10.000000 0.505000 0.347310 0.168780 0.025157 0.526780
10.000000 0.505000 1.736812 0.017048 0.143147 -0.587374
10.000000 0.510000 0.345100 0.169436 0.025040 0.526737
10.000000 0.510000 1.737211 0.017033 0.143225 -0.588158
10.000000 0.515000 0.342933 0.170081 0.024925 0.526688
10.000000 0.515000 1.737602 0.017018 0.143302 -0.588926
10.000000 0.520000 0.340807 0.170718 0.024812 0.526633
10.000000 0.520000 1.737985 0.017004 0.143377 -0.589678
10.000000 0.525000 0.338722 0.171346 0.024701 0.526572
10.000000 0.525000 0.338722 0.171346 0.024701 0.526573
10.000000 0.525000 1.738359 0.016990 0.143450 -0.590415
10.000000 0.530000 0.336675 0.171965 0.024592 0.526507
10.000000 0.530000 0.336676 0.171965 0.024592 0.526507
10.000000 0.530000 1.738726 0.016976 0.143522 -0.591137
10.000000 0.535000 0.334667 0.172575 0.024485 0.526436
10.000000 0.535000 1.739085 0.016963 0.143592 -0.591844
10.000000 0.540000 0.332696 0.173177 0.024380 0.526361
10.000000 0.540000 1.739436 0.016950 0.143661 -0.592538
10.000000 0.540000 1.739437 0.016950 0.143661 -0.592538
10.000000 0.545000 0.330760 0.173770 0.024277 0.526282
10.000000 0.545000 1.739781 0.016937 0.143729 -0.593218
10.000000 0.550000 0.328860 0.174356 0.024175 0.526199
10.000000 0.550000 1.740119 0.016924 0.143795 -0.593885
10.000000 0.555000 0.326993 0.174933 0.024075 0.526111
10.000000 0.555000 0.326994 0.174933 0.024076 0.526112
10.000000 0.555000 1.740449 0.016912 0.143860 -0.594539
10.000000 0.560000 0.325160 0.175503 0.023978 0.526021
10.000000 0.560000 1.740774 0.016900 0.143924 -0.595180
10.000000 0.565000 0.323360 0.176064 0.023881 0.525927
10.000000 0.565000 0.323360 0.176065 0.023881 0.525927
10.000000 0.565000 1.741092 0.016888 0.143987 -0.595810
10.000000 0.570000 0.321590 0.176619 0.023787 0.525830
10.000000 0.570000 1.741404 0.016877 0.144048 -0.596427
10.000000 0.575000 0.319852 0.177166 0.023693 0.525730
